experiment_id;sample;sequence;sent_at_ms;rtt_ms;srtt_ms;status
baseline;1;1;0.427;3.852;3.852;received
baseline;2;2;322.318;0.844;3.476;received
baseline;3;3;625.408;1.059;3.174;received
baseline;4;4;929.005;3.652;3.234;received
baseline;5;5;1241.066;2.351;3.123;received
baseline;6;6;1555.144;1.043;2.863;received
baseline;7;7;1860.216;0.866;2.614;received
baseline;8;8;2165.865;0.916;2.401;received
baseline;9;9;2467.578;0.993;2.225;received
baseline;10;10;2775.148;1.330;2.113;received
baseline;11;11;3084.379;1.183;1.997;received
baseline;12;12;3396.035;1.318;1.912;received
baseline;13;13;3695.129;1.066;1.806;received
baseline;14;14;3999.724;0.897;1.693;received
baseline;15;15;4302.740;0.940;1.599;received
baseline;16;16;4612.978;0.945;1.517;received
baseline;17;17;4925.182;1.449;1.508;received
baseline;18;18;5229.107;1.111;1.459;received
baseline;19;19;5535.111;1.639;1.481;received
baseline;20;20;5841.182;0.751;1.390;received
baseline;21;21;6149.236;0.765;1.312;received
baseline;22;22;6459.080;0.947;1.266;received
baseline;23;23;6762.112;0.747;1.201;received
baseline;24;24;7076.365;0.801;1.151;received
baseline;25;25;7396.682;0.771;1.104;received
baseline;26;26;7711.713;0.953;1.085;received
baseline;27;27;8013.904;2.017;1.201;received
baseline;28;28;8325.972;2.310;1.340;received
baseline;29;29;8628.143;1.489;1.359;received
baseline;30;30;8941.407;1.176;1.336;received
baseline;31;31;9251.155;0.951;1.288;received
baseline;32;32;9559.799;0.559;1.197;received
baseline;33;33;9868.193;0.849;1.153;received
baseline;34;34;10168.851;1.352;1.178;received
baseline;35;35;10479.551;0.726;1.122;received
baseline;36;36;10782.824;0.603;1.057;received
baseline;37;37;11085.928;0.689;1.011;received
baseline;38;38;11394.930;0.650;0.966;received
baseline;39;39;11696.708;0.628;0.923;received
baseline;40;40;11999.147;0.791;0.907;received
baseline;41;41;12308.809;1.237;0.948;received
baseline;42;42;12612.810;0.581;0.902;received
baseline;43;43;12914.025;1.709;1.003;received
baseline;44;44;13218.213;0.631;0.957;received
baseline;45;45;13521.970;0.705;0.925;received
baseline;46;46;13833.574;0.615;0.886;received
baseline;47;47;14134.640;0.503;0.838;received
baseline;48;48;14441.697;0.695;0.821;received
baseline;49;49;14750.758;0.994;0.842;received
baseline;50;50;15065.827;0.899;0.849;received
delay_50;1;1;0.481;62.813;62.813;received
delay_50;2;2;321.798;62.247;62.742;received
delay_50;3;3;625.906;66.821;63.252;received
delay_50;4;4;939.654;69.131;63.987;received
delay_50;5;5;1255.698;66.572;64.310;received
delay_50;6;6;1558.283;57.245;63.427;received
delay_50;7;7;1859.995;59.487;62.934;received
delay_50;8;8;2164.758;55.722;62.033;received
delay_50;9;9;2476.649;68.374;62.826;received
delay_50;10;10;2778.798;51.992;61.471;received
delay_50;11;11;3088.482;59.167;61.183;received
delay_50;12;12;3392.818;61.341;61.203;received
delay_50;13;13;3706.630;58.857;60.910;received
delay_50;14;14;4020.690;62.460;61.104;received
delay_50;15;15;4331.056;58.958;60.835;received
delay_50;16;16;4638.860;59.756;60.700;received
delay_50;17;17;4946.683;59.812;60.589;received
delay_50;18;18;5254.517;53.530;59.707;received
delay_50;19;19;5563.474;61.876;59.978;received
delay_50;20;20;5865.276;65.204;60.631;received
delay_50;21;21;6169.677;60.062;60.560;received
delay_50;22;22;6480.844;66.089;61.251;received
delay_50;23;23;6798.292;61.540;61.287;received
delay_50;24;24;7106.201;66.735;61.968;received
delay_50;25;25;7420.823;61.322;61.888;received
delay_50;26;26;7733.243;55.456;61.084;received
delay_50;27;27;8037.185;60.330;60.989;received
delay_50;28;28;8344.455;55.870;60.349;received
delay_50;29;29;8661.781;55.617;59.758;received
delay_50;30;30;8971.663;63.981;60.286;received
delay_50;31;31;9284.703;58.857;60.107;received
delay_50;32;32;9589.263;58.730;59.935;received
